Entity	Remark
http://af.dbpedia.org/resource/Halle,_Sakse-Anhalt	Error
http://af.dbpedia.org/resource/Halle_(dubbelsinnig)	Error
http://als.dbpedia.org/resource/Halle_(Saale)	Error
http://an.dbpedia.org/resource/Halle_(Saxonia-Anhalt)	Error
http://ar.dbpedia.org/resource/%D9%87%D8%A7%D9%84%D9%87_(%D8%B3%D9%83%D8%B3%D9%88%D9%86%D9%8A%D8%A7-%D8%A3%D9%86%D9%87%D8%A7%D9%84%D8%AA)	Timeout
http://ar.dbpedia.org/resource/غالي	Timeout
http://ar.dbpedia.org/resource/هاله_(سكسونيا-أنهالت)	Timeout
http://ba.dbpedia.org/resource/%D0%93%D0%B0%D0%BB%D0%BB%D0%B5_(%D0%A1%D0%B0%D0%BA%D1%81%D0%BE%D0%BD%D0%B8%D1%8F-%D0%90%D0%BD%D1%85%D0%B0%D0%BB%D1%8C%D1%82)	Error
http://ba.dbpedia.org/resource/Галле_(Саксония-Анхальт)	Error
http://be-x-old.dbpedia.org/resource/%D0%93%D0%B0%D0%BB%D0%B5-%D0%BD%D0%B0-%D0%97%D0%B0%D0%B0%D0%BB%D0%B5	Error
http://be-x-old.dbpedia.org/resource/Гале-на-Заале	Error
http://be.dbpedia.org/resource/%D0%93%D0%BE%D1%80%D0%B0%D0%B4_%D0%93%D0%B0%D0%BB%D0%B5	NotFound
http://be.dbpedia.org/resource/Гале	NotFound
http://be.dbpedia.org/resource/Горад_Гале,_Саксонія-Анхальт	NotFound
http://be.dbpedia.org/resource/Горад_Гале,_Шры-Ланка	NotFound
http://be.dbpedia.org/resource/Горад_Гале	NotFound
http://bg.dbpedia.org/resource/%D0%93%D0%B0%D0%BB%D0%B5_(%D0%B3%D1%80%D0%B0%D0%B4)	RedirectedUntilLanded
http://bg.dbpedia.org/resource/%D0%A5%D0%B0%D0%BB%D0%B5	RedirectedUntilLanded
http://bg.dbpedia.org/resource/%D0%A5%D0%B0%D0%BB%D0%B5_(%D0%BF%D0%BE%D1%8F%D1%81%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5)	RedirectedUntilLanded
http://bg.dbpedia.org/resource/Гале_(град)	RedirectedUntilLanded
http://bg.dbpedia.org/resource/Хале	RedirectedUntilLanded
http://bg.dbpedia.org/resource/Хале_(пояснение)	RedirectedUntilLanded
http://br.dbpedia.org/resource/Halle	Error
http://ca.dbpedia.org/resource/Galle	NotRedirect
http://ca.dbpedia.org/resource/Halle	NotRedirect
http://ca.dbpedia.org/resource/Halle_(Sax%C3%B2nia-Anhalt)	NotRedirect
http://ca.dbpedia.org/resource/Halle_(Saxònia-Anhalt)	NotRedirect
http://ce.dbpedia.org/resource/Галле	Error
http://ce.dbpedia.org/resource/Галле_(Германи)	Error
http://commons.dbpedia.org/resource/Halle_(Saale)	Timeout
http://cs.dbpedia.org/resource/Galle	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Galle_(rozcestník)	Error
http://cs.dbpedia.org/resource/Halle	Error
http://cs.dbpedia.org/resource/Halle_(rozcestn%C3%ADk)	Error
http://cs.dbpedia.org/resource/Halle_(rozcestník)	Error
http://da.dbpedia.org/resource/Galle_(by)	Error
http://da.dbpedia.org/resource/Galle_(flertydig)	Error
http://da.dbpedia.org/resource/Halle	Error
http://da.dbpedia.org/resource/Halle_(Saale)	Error
http://data.nobelprize.org/resource/city/Halle	RedirectedUntilLanded
http://dbpedia.org/resource/%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AE%BF	Timeout
http://dbpedia.org/resource/%E0%B6%9C%E0%B7%8F%E0%B6%BD%E0%B7%8A%E0%B6%BD	Timeout
http://dbpedia.org/resource/Fort_Galle	Timeout
http://dbpedia.org/resource/G%C4%81lla	Timeout
http://dbpedia.org/resource/Galle	Timeout
http://dbpedia.org/resource/Galle_(disambiguation)	RedirectedUntilLanded
http://dbpedia.org/resource/Gālla	Timeout
http://dbpedia.org/resource/Halle%2C_Saxony-Anhalt	Timeout
http://dbpedia.org/resource/Halle,_Saxony-Anhalt	Timeout
http://dbpedia.org/resource/Halle-Neustadt	RedirectedUntilLanded
http://dbpedia.org/resource/Halle-on-the-Saale	Timeout
http://dbpedia.org/resource/Halle/Saale	Timeout
http://dbpedia.org/resource/Halle	RedirectedUntilLanded
http://dbpedia.org/resource/Halle_%28Saale%29	Timeout
