SUBJECT	OBJECT	WEIGHT
http://ar.dbpedia.org/resource/فلاشينبفاند	http://dbpedia.org/resource/Flaschenpfand	0
http://ar.dbpedia.org/resource/فلاشينبفاند	http://de.dbpedia.org/resource/Flaschenpfand	0
http://ar.dbpedia.org/resource/فلاشينبفاند	http://www.wikidata.org/entity/Q10862480	0
http://da.dbpedia.org/resource/Flaskepant	http://dbpedia.org/resource/Container_deposit_legislation	2
http://da.dbpedia.org/resource/Flaskepant	http://de.dbpedia.org/resource/Einwegpfand	2
http://da.dbpedia.org/resource/Flaskepant	http://eo.dbpedia.org/resource/Garantiaĵo	0
http://da.dbpedia.org/resource/Flaskepant	http://eo.dbpedia.org/resource/Ujreuza_garantiaĵo	0
http://da.dbpedia.org/resource/Flaskepant	http://es.dbpedia.org/resource/Legislación_de_depósito_para_envases	0
http://da.dbpedia.org/resource/Flaskepant	http://fi.dbpedia.org/resource/Palpa	1
http://da.dbpedia.org/resource/Flaskepant	http://it.dbpedia.org/resource/Vuoto_a_rendere	1
http://da.dbpedia.org/resource/Flaskepant	http://nl.dbpedia.org/resource/Statiegeld	2
http://da.dbpedia.org/resource/Flaskepant	http://no.dbpedia.org/resource/Flaskepant	2
http://da.dbpedia.org/resource/Flaskepant	http://rdf.freebase.com/ns/m.04vl4s	1
http://da.dbpedia.org/resource/Flaskepant	http://sv.dbpedia.org/resource/Pant_(förpackning)	0
http://da.dbpedia.org/resource/Flaskepant	http://www.wikidata.org/entity/Q1309660	1
http://dbpedia.org/resource/Bottle_deposit	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Bottle_deposit	http://rdf.freebase.com/ns/m/04vl4s	0
http://dbpedia.org/resource/Can_deposit	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Can_redemption	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Container-deposit_legislation	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Container_deposit	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Container_deposit_law	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Container_deposit_legislation	http://da.dbpedia.org/resource/Flaskepant	2
http://dbpedia.org/resource/Container_deposit_legislation	http://de.dbpedia.org/resource/Einwegpfand	5
http://dbpedia.org/resource/Container_deposit_legislation	http://eo.dbpedia.org/resource/Garantiaĵo	0
http://dbpedia.org/resource/Container_deposit_legislation	http://eo.dbpedia.org/resource/Ujreuza_garantiaĵo	0
http://dbpedia.org/resource/Container_deposit_legislation	http://es.dbpedia.org/resource/Legislación_de_depósito_para_envases	0
http://dbpedia.org/resource/Container_deposit_legislation	http://fi.dbpedia.org/resource/Palpa	1
http://dbpedia.org/resource/Container_deposit_legislation	http://it.dbpedia.org/resource/Vuoto_a_rendere	3
http://dbpedia.org/resource/Container_deposit_legislation	http://nl.dbpedia.org/resource/Statiegeld	4
http://dbpedia.org/resource/Container_deposit_legislation	http://no.dbpedia.org/resource/Flaskepant	2
http://dbpedia.org/resource/Container_deposit_legislation	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Container_deposit_legislation	http://rdf.freebase.com/ns/m.04vl4s	3
http://dbpedia.org/resource/Container_deposit_legislation	http://sv.dbpedia.org/resource/Pant_(förpackning)	0
http://dbpedia.org/resource/Container_deposit_legislation	http://wikidata.dbpedia.org/resource/Q1309660	0
http://dbpedia.org/resource/Container_deposit_legislation	http://www.wikidata.org/entity/Q1309660	2
http://dbpedia.org/resource/Container_deposit_legislation	http://is.dbpedia.org/resource/Skilagjald_(umbúðir)	0
http://dbpedia.org/resource/Container_deposit_legislation	http://rdf.freebase.com/ns/m/04vl4s	0
http://dbpedia.org/resource/Container_deposit_legislation	http://wikidata.org/entity/Q1309660	0
http://dbpedia.org/resource/Container_deposit_legislation	http://yago-knowledge.org/resource/Container_deposit_legislation	1
http://dbpedia.org/resource/Flaschenpfand	http://ar.dbpedia.org/resource/فلاشينبفاند	0
http://dbpedia.org/resource/Flaschenpfand	http://de.dbpedia.org/resource/Flaschenpfand	4
http://dbpedia.org/resource/Flaschenpfand	http://rdf.freebase.com/ns/m.0h1gck0	3
http://dbpedia.org/resource/Flaschenpfand	http://www.wikidata.org/entity/Q10862480	2
http://dbpedia.org/resource/Pfand	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000004d4898	1
http://dbpedia.org/resource/Reuse_of_bottles	http://fr.dbpedia.org/resource/Réutilisation_des_bouteilles_d'eau	0
http://dbpedia.org/resource/Reuse_of_bottles	http://ja.dbpedia.org/resource/リターナブル瓶	0
http://dbpedia.org/resource/Reuse_of_bottles	http://rdf.freebase.com/ns/m.02gd23	2
http://dbpedia.org/resource/Reuse_of_bottles	http://wikidata.dbpedia.org/resource/Q3458214	0
http://dbpedia.org/resource/Reuse_of_bottles	http://www.wikidata.org/entity/Q3458214	2
http://dbpedia.org/resource/Reuse_of_bottles	http://wikidata.org/entity/Q3458214	0
http://dbpedia.org/resource/Reuse_of_water_bottles	http://fr.dbpedia.org/resource/Réutilisation_des_bouteilles_d'eau	0
http://dbpedia.org/resource/Reuse_of_water_bottles	http://rdf.freebase.com/ns/m.02gd23	1
http://dbpedia.org/resource/Reuse_of_water_bottles	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000273043	1
http://dbpedia.org/resource/Reuse_of_water_bottles	http://rdf.freebase.com/ns/m/02gd23	0
http://dbpedia.org/resource/Reuse_of_water_bottles	http://yago-knowledge.org/resource/Reuse_of_water_bottles	1
http://dbpedia.org/resource/Reusing_water_bottles	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000273043	1
http://dbpedia.org/resource/Water_bottle_reuse	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000273043	1
http://de.dbpedia.org/resource/Einwegpfand	http://da.dbpedia.org/resource/Flaskepant	2
http://de.dbpedia.org/resource/Einwegpfand	http://dbpedia.org/resource/Container_deposit_legislation	5
http://de.dbpedia.org/resource/Einwegpfand	http://eo.dbpedia.org/resource/Garantiaĵo	0
http://de.dbpedia.org/resource/Einwegpfand	http://eo.dbpedia.org/resource/Ujreuza_garantiaĵo	0
http://de.dbpedia.org/resource/Einwegpfand	http://es.dbpedia.org/resource/Legislación_de_depósito_para_envases	0
