Source	Target
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://ar.dbpedia.org/resource/ألمانيا_الشرقية
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://arz.dbpedia.org/resource/المانيا_الشرقيه
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://ast.dbpedia.org/resource/República_Democrática_Alemana
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://az.dbpedia.org/resource/Almaniya_Demokratik_Respublikası
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://be-x-old.dbpedia.org/resource/Нямецкая_Дэмакратычная_Рэспубліка
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://be.dbpedia.org/resource/Германская_Дэмакратычная_Рэспубліка
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://bg.dbpedia.org/resource/Германска_демократична_република
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://bn.dbpedia.org/resource/পূর্ব_জার্মানি
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://bs.dbpedia.org/resource/Njemačka_demokratska_republika
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://ca.dbpedia.org/resource/República_Democràtica_Alemanya
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://ckb.dbpedia.org/resource/ئاڵمانیای_ڕۆژھەڵات
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://cs.dbpedia.org/resource/Německá_demokratická_republika
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://cv.dbpedia.org/resource/Германи_Демократиллĕ_Республики
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://diq.dbpedia.org/resource/Cumhuriyetê_Almanyayo_Demokratik
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://el.dbpedia.org/resource/Λαϊκή_Δημοκρατία_της_Γερμανίας
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://es.dbpedia.org/resource/República_Democrática_Alemana
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://fa.dbpedia.org/resource/جمهوری_دمکراتیک_آلمان
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://fr.dbpedia.org/resource/République_démocratique_allemande
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://fy.dbpedia.org/resource/Dútske_Demokratyske_Republyk
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://gl.dbpedia.org/resource/República_Democrática_Alemá
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://he.dbpedia.org/resource/גרמניה_המזרחית
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://hr.dbpedia.org/resource/Njemačka_Demokratska_Republika
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	http://hu.dbpedia.org/resource/Német_Demokratikus_Köztársaság
