Source	Target
http://dbpedia.org/resource/Astrology	http://ne.dbpedia.org/resource/ज्योतिष
http://dbpedia.org/resource/Boston	http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000000af9f
http://dbpedia.org/resource/Pensacola,_Florida	http://data.nytimes.com/25227798254860164971
http://dbpedia.org/resource/Astronomy	http://sw.opencyc.org/2008/06/10/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA
http://dbpedia.org/resource/Astronomy	http://sw.opencyc.org/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA
http://rdf.freebase.com/ns/m.0dc_v	http://dbpedia.org/resource/The_Hub_of_the_Universe
http://data.nytimes.com/25227798254860164971	http://sws.geonames.org/4168228/
http://dbpedia.org/resource/Pensacola%2C_Florida	http://sws.geonames.org/4168228/
http://dbpedia.org/resource/Pensacola%2C_Florida	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000000bc63a
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000000af9f	http://dbpedia.org/resource/Boston%2C_Massachusetts
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000000af9f	http://dbpedia.org/resource/Hub_of_the_Universe
http://ru.dbpedia.org/resource/Пенсакола_(значения)	http://pl.dbpedia.org/resource/Pensacola
http://www.wikidata.org/entity/Q256787	http://pl.dbpedia.org/resource/Pensacola
http://de.dbpedia.org/resource/Pensacola	http://pl.dbpedia.org/resource/Pensacola
http://no.dbpedia.org/resource/Pensacola_(andre_betydninger)	http://pl.dbpedia.org/resource/Pensacola
http://nl.dbpedia.org/resource/Pensacola	http://pl.dbpedia.org/resource/Pensacola
http://pl.dbpedia.org/resource/Pensacola	http://ca.dbpedia.org/resource/Pensacola
http://pl.dbpedia.org/resource/Pensacola	http://dbpedia.org/resource/Pensacola_(disambiguation)
http://pl.dbpedia.org/resource/Pensacola	http://it.dbpedia.org/resource/Pensacola_(disambigua)
http://pl.dbpedia.org/resource/Pensacola	http://ja.dbpedia.org/resource/ペンサコーラ
http://pl.dbpedia.org/resource/Pensacola	http://lv.dbpedia.org/resource/Pensacola
http://pl.dbpedia.org/resource/Pensacola	http://pt.dbpedia.org/resource/Pensacola
http://pl.dbpedia.org/resource/Pensacola	http://vo.dbpedia.org/resource/Pensacola
