Source	Target
http://be.dbpedia.org/resource/Рака_Ігуасу	http://hr.dbpedia.org/resource/Iguaçu
http://bg.dbpedia.org/resource/Игуасу_(река)	http://hr.dbpedia.org/resource/Iguaçu
http://bn.dbpedia.org/resource/ইগুয়াসু_নদী	http://hr.dbpedia.org/resource/Iguaçu
http://ca.dbpedia.org/resource/Riu_Iguaçú	http://hr.dbpedia.org/resource/Iguaçu
http://cs.dbpedia.org/resource/Iguaçu_(řeka)	http://hr.dbpedia.org/resource/Iguaçu
http://cy.dbpedia.org/resource/Afon_Iguazú	http://hr.dbpedia.org/resource/Iguaçu
http://data.nytimes.com/N43842223374210835271	http://dbpedia.org/resource/Virginia_Beach
http://dbpedia.org/resource/Igua%C3%A7u_River	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Iguacu_River	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Iguassu_River	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Iguaz%C3%BA_River	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Iguaz%C3%BA_river	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Iguazu_River	http://hr.dbpedia.org/resource/Iguaçu
http://dbpedia.org/resource/Iguazu_River	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Iguazu_River	http://sws.geonames.org/3433488/
http://dbpedia.org/resource/Iguaçu	http://rdf.freebase.com/ns/m.0292n2
http://dbpedia.org/resource/R%C3%ADo_Iguaz%C3%BA	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Rio_Igua%C3%A7u	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Rio_Iguacu	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Rio_Iguazu	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000248a82
http://dbpedia.org/resource/Virginia_Beach%2C_Virginia	http://www.rdfabout.com/rdf/usgov/geo/us/va/counties/virginia_beach/virginia_beach
http://dbpedia.org/resource/Virginia_Beach,_Virginia	http://sws.geonames.org/4791259/
http://dbpedia.org/resource/Virginia_Beach,_Virginia	http://www.rdfabout.com/rdf/usgov/geo/us/va/counties/virginia_beach/virginia_beach
http://de.dbpedia.org/resource/Iguaçu	http://hr.dbpedia.org/resource/Iguaçu
http://el.dbpedia.org/resource/Ποταμός_Ιγκουαζού	http://hr.dbpedia.org/resource/Iguaçu
http://es.dbpedia.org/resource/Río_Iguazú	http://hr.dbpedia.org/resource/Iguaçu
http://et.dbpedia.org/resource/Iguaçu	http://hr.dbpedia.org/resource/Iguaçu
http://eu.dbpedia.org/resource/Iguazu	http://hr.dbpedia.org/resource/Iguaçu
http://fa.dbpedia.org/resource/رود_ایگواسو	http://hr.dbpedia.org/resource/Iguaçu
http://fi.dbpedia.org/resource/Iguaçu	http://hr.dbpedia.org/resource/Iguaçu
http://fr.dbpedia.org/resource/Rio_Iguaçu	http://hr.dbpedia.org/resource/Iguaçu
http://he.dbpedia.org/resource/איגואסו_(נהר)	http://hr.dbpedia.org/resource/Iguaçu
http://hr.dbpedia.org/resource/Iguaçu	http://it.dbpedia.org/resource/Iguazú_(fiume)
http://hr.dbpedia.org/resource/Iguaçu	http://ja.dbpedia.org/resource/イグアス川
http://hr.dbpedia.org/resource/Iguaçu	http://ka.dbpedia.org/resource/იგუასუ_(მდინარე)
http://hr.dbpedia.org/resource/Iguaçu	http://kk.dbpedia.org/resource/Игуасу
http://hr.dbpedia.org/resource/Iguaçu	http://ko.dbpedia.org/resource/이구아수_강
http://hr.dbpedia.org/resource/Iguaçu	http://lt.dbpedia.org/resource/Igvasu_(upė)
http://hr.dbpedia.org/resource/Iguaçu	http://mk.dbpedia.org/resource/Игуасу_(река)
http://hr.dbpedia.org/resource/Iguaçu	http://nl.dbpedia.org/resource/Iguaçu_(rivier)
http://hr.dbpedia.org/resource/Iguaçu	http://no.dbpedia.org/resource/Iguazú_(elv)
http://hr.dbpedia.org/resource/Iguaçu	http://pl.dbpedia.org/resource/Iguaçu_(rzeka)
http://hr.dbpedia.org/resource/Iguaçu	http://pt.dbpedia.org/resource/Rio_Iguaçu
http://hr.dbpedia.org/resource/Iguaçu	http://ro.dbpedia.org/resource/Iguazú
http://hr.dbpedia.org/resource/Iguaçu	http://ru.dbpedia.org/resource/Игуасу_(река)
http://hr.dbpedia.org/resource/Iguaçu	http://sh.dbpedia.org/resource/Iguazú_(rijeka)
http://hr.dbpedia.org/resource/Iguaçu	http://sk.dbpedia.org/resource/Iguaçu_(rieka)
http://hr.dbpedia.org/resource/Iguaçu	http://sl.dbpedia.org/resource/Iguaçu
http://hr.dbpedia.org/resource/Iguaçu	http://sv.dbpedia.org/resource/Iguazúfloden
http://hr.dbpedia.org/resource/Iguaçu	http://uk.dbpedia.org/resource/Іґуасу_(річка)
http://hr.dbpedia.org/resource/Iguaçu	http://www.wikidata.org/entity/Q191635
http://hr.dbpedia.org/resource/Iguaçu	http://zh.dbpedia.org/resource/伊瓜苏河
http://ru.dbpedia.org/resource/%D0%92%D0%B8%D1%80%D0%B4%D0%B6%D0%B8%D0%BD%D0%B8%D1%8F-%D0%91%D0%B8%D1%87	http://sws.geonames.org/4791259/
