Source	Target
http://be.dbpedia.org/resource/Гале	http://ja.dbpedia.org/resource/ハレ
http://bg.dbpedia.org/resource/Хале_(пояснение)	http://ja.dbpedia.org/resource/ハレ
http://ca.dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://cs.dbpedia.org/resource/Halle_(rozcestník)	http://ja.dbpedia.org/resource/ハレ
http://dbpedia.org/resource/G%C4%81lla	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/Gālla	http://rdf.freebase.com/ns/m.0273mk
http://dbpedia.org/resource/Halle-Neustadt	http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000014b744
http://dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://dbpedia.org/resource/Halle	http://sh.dbpedia.org/resource/Halle
http://de.dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://el.dbpedia.org/resource/Χάλλε	http://ja.dbpedia.org/resource/ハレ
http://eo.dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://es.dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://et.dbpedia.org/resource/Halle_(täpsustus)	http://ja.dbpedia.org/resource/ハレ
http://fr.dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://hu.dbpedia.org/resource/Halle_(egyértelműsítő_lap)	http://ja.dbpedia.org/resource/ハレ
http://hy.dbpedia.org/resource/Գալլե_(այլ_կիրառումներ)	http://ja.dbpedia.org/resource/ハレ
http://it.dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://ja.dbpedia.org/resource/ハレ	http://ko.dbpedia.org/resource/할레_(동음이의)
http://ja.dbpedia.org/resource/ハレ	http://nl.dbpedia.org/resource/Halle
http://ja.dbpedia.org/resource/ハレ	http://pl.dbpedia.org/resource/Halle
http://ja.dbpedia.org/resource/ハレ	http://pt.dbpedia.org/resource/Halle
http://ja.dbpedia.org/resource/ハレ	http://ro.dbpedia.org/resource/Halle
http://ja.dbpedia.org/resource/ハレ	http://ru.dbpedia.org/resource/Галле
http://ja.dbpedia.org/resource/ハレ	http://sk.dbpedia.org/resource/Halle
http://ja.dbpedia.org/resource/ハレ	http://sv.dbpedia.org/resource/Halle_(olika_betydelser)
http://ja.dbpedia.org/resource/ハレ	http://tr.dbpedia.org/resource/Halle
http://ja.dbpedia.org/resource/ハレ	http://uk.dbpedia.org/resource/Галле
http://ru.dbpedia.org/resource/%D0%93%D0%B0%D0%BB%D0%BB%D0%B5	http://sws.geonames.org/1246294/
http://sv.dbpedia.org/resource/Galle_(olika_betydelser)	http://dbpedia.org/resource/Galle_(disambiguation)
http://de.dbpedia.org/resource/Galle_(Begriffsklärung)	http://dbpedia.org/resource/Galle_(disambiguation)
http://cs.dbpedia.org/resource/Galle_(rozcestník)	http://dbpedia.org/resource/Galle_(disambiguation)
http://nl.dbpedia.org/resource/Galle	http://dbpedia.org/resource/Galle_(disambiguation)
http://fr.dbpedia.org/resource/Galle	http://dbpedia.org/resource/Galle_(disambiguation)
http://it.dbpedia.org/resource/Galle	http://dbpedia.org/resource/Galle_(disambiguation)
http://pl.dbpedia.org/resource/Galle_(ujednoznacznienie)	http://dbpedia.org/resource/Galle_(disambiguation)
http://pt.dbpedia.org/resource/Galle_(desambiguação)	http://dbpedia.org/resource/Galle_(disambiguation)
http://ja.dbpedia.org/resource/ガレ	http://dbpedia.org/resource/Galle_(disambiguation)
http://www.wikidata.org/entity/Q351711	http://dbpedia.org/resource/Galle_(disambiguation)
http://dbpedia.org/resource/Galle_(disambiguation)	http://no.dbpedia.org/resource/Galle_(andre_betydninger)
