Source	Target
http://az.dbpedia.org/resource/Pripyat	http://eu.dbpedia.org/resource/Pripiat
http://be.dbpedia.org/resource/Горад_Прыпяць	http://eu.dbpedia.org/resource/Pripiat
http://bg.dbpedia.org/resource/Припят_(град)	http://eu.dbpedia.org/resource/Pripiat
http://bs.dbpedia.org/resource/Pripjat_(čvor)	http://dbpedia.org/resource/Pripyat_(disambiguation)
http://cs.dbpedia.org/resource/Pripjať_(město)	http://eu.dbpedia.org/resource/Pripiat
http://cy.dbpedia.org/resource/Pripyat	http://eu.dbpedia.org/resource/Pripiat
http://dbpedia.org/resource/Pripyat	http://eu.dbpedia.org/resource/Pripiat
http://de.dbpedia.org/resource/Prypjat_(Stadt)	http://eu.dbpedia.org/resource/Pripiat
http://eo.dbpedia.org/resource/Pripjat	http://eu.dbpedia.org/resource/Pripiat
http://es.dbpedia.org/resource/Prípiat	http://eu.dbpedia.org/resource/Pripiat
http://et.dbpedia.org/resource/Prõpjat	http://eu.dbpedia.org/resource/Pripiat
http://fr.dbpedia.org/resource/Pripiat	http://eu.dbpedia.org/resource/Pripiat
http://hr.dbpedia.org/resource/Pripjat	http://eu.dbpedia.org/resource/Pripiat
http://hy.dbpedia.org/resource/Պրիպյատ	http://eu.dbpedia.org/resource/Pripiat
http://id.dbpedia.org/resource/Pripyat,_Ukraina	http://eu.dbpedia.org/resource/Pripiat
http://it.dbpedia.org/resource/Pryp'jat'_(città)	http://eu.dbpedia.org/resource/Pripiat
http://ja.dbpedia.org/resource/プリピャチ	http://eu.dbpedia.org/resource/Pripiat
http://ko.dbpedia.org/resource/프리피야티	http://eu.dbpedia.org/resource/Pripiat
http://pl.dbpedia.org/resource/Prypeć_(miasto)	http://eu.dbpedia.org/resource/Pripiat
http://pt.dbpedia.org/resource/Pripyat	http://eu.dbpedia.org/resource/Pripiat
http://ru.dbpedia.org/resource/Припять_(город)	http://eu.dbpedia.org/resource/Pripiat
http://sk.dbpedia.org/resource/Pripiať_(mesto)	http://eu.dbpedia.org/resource/Pripiat
http://sl.dbpedia.org/resource/Pripjat,_Ukrajina	http://eu.dbpedia.org/resource/Pripiat
http://sr.dbpedia.org/resource/Припјат	http://eu.dbpedia.org/resource/Pripiat
http://sv.dbpedia.org/resource/Pripjat_(stad)	http://eu.dbpedia.org/resource/Pripiat
http://tr.dbpedia.org/resource/Pripyat	http://eu.dbpedia.org/resource/Pripiat
http://uk.dbpedia.org/resource/Прип'ять_(місто)	http://eu.dbpedia.org/resource/Pripiat
http://zh.dbpedia.org/resource/普里皮亚季	http://eu.dbpedia.org/resource/Pripiat
http://ar.dbpedia.org/resource/بريبيات	http://eu.dbpedia.org/resource/Pripiat
http://ca.dbpedia.org/resource/Prípiat	http://eu.dbpedia.org/resource/Pripiat
http://eu.dbpedia.org/resource/Pripiat	http://hu.dbpedia.org/resource/Pripjaty_(Kijevi_terület)
http://eu.dbpedia.org/resource/Pripiat	http://nl.dbpedia.org/resource/Pripjat_(stad)
http://eu.dbpedia.org/resource/Pripiat	http://ro.dbpedia.org/resource/Prîpeat
http://be-x-old.dbpedia.org/resource/Прыпяць_(неадназначнасьць)	http://dbpedia.org/resource/Pripyat_(disambiguation)
http://be.dbpedia.org/resource/Прыпяць,_значэнні	http://dbpedia.org/resource/Pripyat_(disambiguation)
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://de.dbpedia.org/resource/Prypjat
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://fi.dbpedia.org/resource/Prypjat_(täsmennyssivu)
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://hr.dbpedia.org/resource/Pripjat_(razdvojba)
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://hu.dbpedia.org/resource/Pripjaty_(egyértelműsítő_lap)
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://it.dbpedia.org/resource/Pryp'jat'
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://ka.dbpedia.org/resource/პრიპიატი_(მრავალმნიშვნელოვანი)
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://lt.dbpedia.org/resource/Pripetė
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://nl.dbpedia.org/resource/Pripjat
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://nl.dbpedia.org/resource/Prypjat
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://pl.dbpedia.org/resource/Prypeć
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://ro.dbpedia.org/resource/Pripiat_(dezambiguizare)
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://ru.dbpedia.org/resource/Припять
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://sk.dbpedia.org/resource/Pripiať
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://sl.dbpedia.org/resource/Pripjat
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://uk.dbpedia.org/resource/Прип'ять_(значення)
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://vi.dbpedia.org/resource/Pripyat
http://dbpedia.org/resource/Pripyat_(disambiguation)	http://www.wikidata.org/entity/Q234183
