Source	Target
http://d-nb.info/gnd/119399237	http://dbpedia.org/resource/John_Adams_(composer)
http://data.bibsys.no/data/notrbib/authorityentry/x01039256	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x03039749	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x03107289	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x07065110	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x10016233	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x10049949	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x90148933	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x90845244	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x90880171	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x90939206	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://data.bibsys.no/data/notrbib/authorityentry/x97024381	http://dbpedia.org/resource/John_Adams_%28Confederate_Army_officer%29
http://dbpedia.org/resource/John_Adams%2C_Jr	http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000001fe18
http://dbpedia.org/resource/John_Adams_Inaugural_Speech	http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000001fe18
