Source	Target
http://dbpedia.org/resource/%E0%B6%9C%E0%B7%8F%E0%B6%BD%E0%B7%8A%E0%B6%BD	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/Fort_Galle	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/G%C4%81lla	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/Galle	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/Halle-Neustadt	http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000014b744
http://dbpedia.org/resource/Images_of_Galle	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/K%C4%81li	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/Old_Town_of_Galle_and_its_Fortifications	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/Point_de_Galle	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000238e71
http://dbpedia.org/resource/காலி	http://rdf.freebase.com/ns/m.0273mk
http://ru.dbpedia.org/resource/%D0%93%D0%B0%D0%BB%D0%BB%D0%B5	http://sws.geonames.org/1246294/
http://dbpedia.org/resource/Old_Town_of_Galle_and_its_Fortifications	http://rdf.freebase.com/ns/m.0273mk
http://rdf.freebase.com/ns/m.0273mk	http://dbpedia.org/resource/Images_of_Galle
http://fr.dbpedia.org/resource/Galle	http://it.dbpedia.org/resource/Galle
http://www.wikidata.org/entity/Q351711	http://it.dbpedia.org/resource/Galle
http://dbpedia.org/resource/Galle_(disambiguation)	http://it.dbpedia.org/resource/Galle
http://de.dbpedia.org/resource/Galle_(Begriffsklärung)	http://it.dbpedia.org/resource/Galle
http://ja.dbpedia.org/resource/ガレ	http://it.dbpedia.org/resource/Galle
http://no.dbpedia.org/resource/Galle_(andre_betydninger)	http://it.dbpedia.org/resource/Galle
http://cs.dbpedia.org/resource/Galle_(rozcestník)	http://it.dbpedia.org/resource/Galle
http://nl.dbpedia.org/resource/Galle	http://it.dbpedia.org/resource/Galle
http://pl.dbpedia.org/resource/Galle_(ujednoznacznienie)	http://it.dbpedia.org/resource/Galle
http://it.dbpedia.org/resource/Galle	http://pt.dbpedia.org/resource/Galle_(desambiguação)
http://it.dbpedia.org/resource/Galle	http://sv.dbpedia.org/resource/Galle_(olika_betydelser)
