Source	Target
http://dbpedia.org/resource/Rostov-on-Don	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000001d04ad
http://hu.dbpedia.org/resource/Rosztov	http://bg.dbpedia.org/resource/Ростов
http://ar.dbpedia.org/resource/روستوف	http://bg.dbpedia.org/resource/Ростов
http://az.dbpedia.org/resource/Rostov	http://bg.dbpedia.org/resource/Ростов
http://be.dbpedia.org/resource/Горад_Растоў	http://bg.dbpedia.org/resource/Ростов
http://bg.dbpedia.org/resource/Ростов	http://ca.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://cs.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://de.dbpedia.org/resource/Rostow
http://bg.dbpedia.org/resource/Ростов	http://el.dbpedia.org/resource/Ροστόφ
http://bg.dbpedia.org/resource/Ростов	http://eo.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://es.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://et.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://eu.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://fr.dbpedia.org/resource/Rostov_Veliki
http://bg.dbpedia.org/resource/Ростов	http://ga.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://hr.dbpedia.org/resource/Rostov_Veliki
http://bg.dbpedia.org/resource/Ростов	http://it.dbpedia.org/resource/Rostov_Velikij
http://bg.dbpedia.org/resource/Ростов	http://ja.dbpedia.org/resource/ロストフ
http://bg.dbpedia.org/resource/Ростов	http://ko.dbpedia.org/resource/로스토프
http://bg.dbpedia.org/resource/Ростов	http://nl.dbpedia.org/resource/Rostov_Veliki
http://bg.dbpedia.org/resource/Ростов	http://pl.dbpedia.org/resource/Rostów
http://bg.dbpedia.org/resource/Ростов	http://pt.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://ru.dbpedia.org/resource/Ростов
http://bg.dbpedia.org/resource/Ростов	http://sr.dbpedia.org/resource/Ростов
http://bg.dbpedia.org/resource/Ростов	http://sv.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://tr.dbpedia.org/resource/Rostov
http://bg.dbpedia.org/resource/Ростов	http://uk.dbpedia.org/resource/Ростов
http://bg.dbpedia.org/resource/Ростов	http://zh.dbpedia.org/resource/罗斯托夫
http://ko.dbpedia.org/resource/로스토프	http://dbpedia.org/resource/Rostov_(disambiguation)
http://ko.dbpedia.org/resource/로스토프	http://de.dbpedia.org/resource/Rostow_(Begriffsklärung)
http://ko.dbpedia.org/resource/로스토프	http://es.dbpedia.org/resource/Rostov_(desambiguación)
http://ko.dbpedia.org/resource/로스토프	http://fr.dbpedia.org/resource/Rostov_(homonymie)
http://ko.dbpedia.org/resource/로스토프	http://he.dbpedia.org/resource/רוסטוב_(פירושונים)
http://ko.dbpedia.org/resource/로스토프	http://hr.dbpedia.org/resource/Rostov
http://ko.dbpedia.org/resource/로스토프	http://it.dbpedia.org/resource/Rostov
http://ko.dbpedia.org/resource/로스토프	http://nl.dbpedia.org/resource/Rostov
http://ko.dbpedia.org/resource/로스토프	http://ro.dbpedia.org/resource/Rostov
http://ko.dbpedia.org/resource/로스토프	http://ru.dbpedia.org/resource/Ростов_(значения)
http://ko.dbpedia.org/resource/로스토프	http://sr.dbpedia.org/resource/Ростов_(вишезначна_одредница)
http://ko.dbpedia.org/resource/로스토프	http://uk.dbpedia.org/resource/Ростов_(значення)
http://rdf.freebase.com/ns/m.02bx23	http://dbpedia.org/resource/Principality_of_Rostov
