Source	Target
http://bg.dbpedia.org/resource/Бранденбург	http://ja.dbpedia.org/resource/ブランデンブルク
http://dbpedia.org/resource/Brandenburg	http://ia.dbpedia.org/resource/Brandenburg
http://dbpedia.org/resource/Brandenburg	http://yi.dbpedia.org/resource/בראנדנבורג
http://dbpedia.org/resource/Brandenburg	http://gadm.geovocab.org/id/2_11557
http://lb.dbpedia.org/resource/Brandenburg	http://ja.dbpedia.org/resource/ブランデンブルク
http://als.dbpedia.org/resource/Brandenburg	http://ja.dbpedia.org/resource/ブランデンブルク
http://be.dbpedia.org/resource/Брандэнбург,_значэнні	http://ja.dbpedia.org/resource/ブランデンブルク
http://bg.dbpedia.org/resource/Бранденбург_(пояснение)	http://ja.dbpedia.org/resource/ブランデンブルク
http://br.dbpedia.org/resource/Brandenburg_(disheñvelout)	http://ja.dbpedia.org/resource/ブランデンブルク
http://cs.dbpedia.org/resource/Braniborsko_(rozcestník)	http://ja.dbpedia.org/resource/ブランデンブルク
http://dbpedia.org/resource/Brandenburg_(disambiguation)	http://ja.dbpedia.org/resource/ブランデンブルク
http://de.dbpedia.org/resource/Brandenburg_(Begriffsklärung)	http://ja.dbpedia.org/resource/ブランデンブルク
http://eo.dbpedia.org/resource/Brandenburg	http://ja.dbpedia.org/resource/ブランデンブルク
http://es.dbpedia.org/resource/Brandeburgo_(desambiguación)	http://ja.dbpedia.org/resource/ブランデンブルク
http://fa.dbpedia.org/resource/براندنبورگ_(ابهام‌زدایی)	http://ja.dbpedia.org/resource/ブランデンブルク
http://fr.dbpedia.org/resource/Brandenbourg_(homonymie)	http://ja.dbpedia.org/resource/ブランデンブルク
http://he.dbpedia.org/resource/ברנדנבורג_(פירושונים)	http://ja.dbpedia.org/resource/ブランデンブルク
http://it.dbpedia.org/resource/Brandenburg	http://ja.dbpedia.org/resource/ブランデンブルク
http://ja.dbpedia.org/resource/ブランデンブルク	http://ka.dbpedia.org/resource/ბრანდენბურგი_(მრავალმნიშვნელოვანი)
http://ja.dbpedia.org/resource/ブランデンブルク	http://ko.dbpedia.org/resource/브란덴부르크
http://ja.dbpedia.org/resource/ブランデンブルク	http://lv.dbpedia.org/resource/Brandenburg
http://ja.dbpedia.org/resource/ブランデンブルク	http://mk.dbpedia.org/resource/Бранденбург_(појаснување)
http://ja.dbpedia.org/resource/ブランデンブルク	http://nds.dbpedia.org/resource/Brannenborg_(Mehrdüdig_Begreep)
http://ja.dbpedia.org/resource/ブランデンブルク	http://nl.dbpedia.org/resource/Brandenburg
http://ja.dbpedia.org/resource/ブランデンブルク	http://pl.dbpedia.org/resource/Brandenburg_(ujednoznacznienie)
http://ja.dbpedia.org/resource/ブランデンブルク	http://pt.dbpedia.org/resource/Brandenburg_(desambiguação)
http://ja.dbpedia.org/resource/ブランデンブルク	http://ro.dbpedia.org/resource/Brandenburg_(dezambiguizare)
http://ja.dbpedia.org/resource/ブランデンブルク	http://ru.dbpedia.org/resource/Бранденбург_(значения)
http://ja.dbpedia.org/resource/ブランデンブルク	http://sv.dbpedia.org/resource/Brandenburg_(olika_betydelser)
http://ja.dbpedia.org/resource/ブランデンブルク	http://tr.dbpedia.org/resource/Brandenburg_(anlam_ayrımı)
http://ja.dbpedia.org/resource/ブランデンブルク	http://uk.dbpedia.org/resource/Бранденбург_(значення)
http://ja.dbpedia.org/resource/ブランデンブルク	http://vo.dbpedia.org/resource/Brandenburg_(Telplänov)
http://ja.dbpedia.org/resource/ブランデンブルク	http://www.wikidata.org/entity/Q219064
http://rdf.freebase.com/ns/m.017wh	http://bg.dbpedia.org/resource/Бранденбург_(провинция)
http://dbpedia.org/resource/Berlin-Brandenburg	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000009f6f
http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000127b5a	http://dbpedia.org/resource/Brennabor
