Source	Target
http://dbpedia.org/resource/Astrology	http://ne.dbpedia.org/resource/ज्योतिष
http://dbpedia.org/resource/Boston	http://data.nytimes.com/87213190915053133621
http://dbpedia.org/resource/Boston	http://sw.cyc.com/concept/Mx4rvVi3gZwpEbGdrcN5Y29ycA
http://dbpedia.org/resource/Boston	http://sws.geonames.org/4930956/
http://dbpedia.org/resource/Astronomy	http://sw.opencyc.org/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA
http://pl.dbpedia.org/resource/Pensacola	http://dbpedia.org/resource/Pensacola_(disambiguation)
http://ca.dbpedia.org/resource/Pensacola	http://dbpedia.org/resource/Pensacola_(disambiguation)
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://de.dbpedia.org/resource/Pensacola
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://it.dbpedia.org/resource/Pensacola_(disambigua)
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://ja.dbpedia.org/resource/ペンサコーラ
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://lv.dbpedia.org/resource/Pensacola
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://nl.dbpedia.org/resource/Pensacola
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://no.dbpedia.org/resource/Pensacola_(andre_betydninger)
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://pl.dbpedia.org/resource/Pensacola_(ujednoznacznienie)
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://pt.dbpedia.org/resource/Pensacola
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://pt.dbpedia.org/resource/Pensacola_(desambiguação)
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://ru.dbpedia.org/resource/Пенсакола_(значения)
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://sr.dbpedia.org/resource/Пенсакола_(вишезначна_одредница)
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://vo.dbpedia.org/resource/Pensacola
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://www.wikidata.org/entity/Q256787
http://dbpedia.org/resource/Pensacola_(disambiguation)	http://sh.dbpedia.org/resource/Pensakola_(razvrstavanje)
http://sws.geonames.org/4930956/	http://ru.dbpedia.org/resource/%D0%91%D0%BE%D1%81%D1%82%D0%BE%D0%BD
http://sw.opencyc.org/2008/06/10/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA	http://sw.opencyc.org/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA
http://sw.opencyc.org/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA	http://sw.cyc.com/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA
http://sw.opencyc.org/concept/Mx4rvq2R25wpEbGdrcN5Y29ycA	http://umbel.org/umbel/sc/Astrophysics
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000000af9f	http://dbpedia.org/resource/Boston%2C_Massachusetts
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000000af9f	http://dbpedia.org/resource/The_Hub_of_the_Universe
