Source	Target
http://af.dbpedia.org/resource/Halle_(dubbelsinnig)	http://dbpedia.org/resource/Halle
http://be.dbpedia.org/resource/Гале	http://dbpedia.org/resource/Halle
http://bg.dbpedia.org/resource/Хале_(пояснение)	http://dbpedia.org/resource/Halle
http://br.dbpedia.org/resource/Halle	http://dbpedia.org/resource/Halle
http://ca.dbpedia.org/resource/Halle	http://dbpedia.org/resource/Halle
http://cs.dbpedia.org/resource/Galle_(rozcestník)	http://dbpedia.org/resource/Galle_(disambiguation)
http://cs.dbpedia.org/resource/Halle_(rozcestník)	http://dbpedia.org/resource/Halle
http://da.dbpedia.org/resource/Halle	http://dbpedia.org/resource/Halle
http://dbpedia.org/resource/Galle_(disambiguation)	http://de.dbpedia.org/resource/Galle_(Begriffsklärung)
http://dbpedia.org/resource/Galle_(disambiguation)	http://fr.dbpedia.org/resource/Galle
http://dbpedia.org/resource/Galle_(disambiguation)	http://it.dbpedia.org/resource/Galle
http://dbpedia.org/resource/Galle_(disambiguation)	http://ja.dbpedia.org/resource/ガレ
http://dbpedia.org/resource/Galle_(disambiguation)	http://nl.dbpedia.org/resource/Galle
http://dbpedia.org/resource/Galle_(disambiguation)	http://no.dbpedia.org/resource/Galle_(andre_betydninger)
http://dbpedia.org/resource/Galle_(disambiguation)	http://pl.dbpedia.org/resource/Galle_(ujednoznacznienie)
http://dbpedia.org/resource/Galle_(disambiguation)	http://pt.dbpedia.org/resource/Galle_(desambiguação)
http://dbpedia.org/resource/Galle_(disambiguation)	http://sv.dbpedia.org/resource/Galle_(olika_betydelser)
http://dbpedia.org/resource/Galle_(disambiguation)	http://www.wikidata.org/entity/Q351711
http://dbpedia.org/resource/Halle	http://de.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://el.dbpedia.org/resource/Χάλλε
http://dbpedia.org/resource/Halle	http://eo.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://es.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://et.dbpedia.org/resource/Halle_(täpsustus)
http://dbpedia.org/resource/Halle	http://fi.dbpedia.org/resource/Halle_(täsmennyssivu)
http://dbpedia.org/resource/Halle	http://fr.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://fy.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://hu.dbpedia.org/resource/Halle_(egyértelműsítő_lap)
http://dbpedia.org/resource/Halle	http://hy.dbpedia.org/resource/Գալլե_(այլ_կիրառումներ)
http://dbpedia.org/resource/Halle	http://it.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ
http://dbpedia.org/resource/Halle	http://ja.dbpedia.org/resource/ハレ_(曖昧さ回避)
http://dbpedia.org/resource/Halle	http://ko.dbpedia.org/resource/할레_(동음이의)
http://dbpedia.org/resource/Halle	http://lb.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://lt.dbpedia.org/resource/Halė_(reikšmės)
http://dbpedia.org/resource/Halle	http://nds.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://nl.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://no.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://pl.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://pt.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://ro.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://ru.dbpedia.org/resource/Галле
http://dbpedia.org/resource/Halle	http://sh.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://sk.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://sv.dbpedia.org/resource/Halle_(olika_betydelser)
http://dbpedia.org/resource/Halle	http://tr.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://uk.dbpedia.org/resource/Галле
http://dbpedia.org/resource/Halle	http://vi.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://vo.dbpedia.org/resource/Halle
http://dbpedia.org/resource/Halle	http://www.wikidata.org/entity/Q108656
http://ru.dbpedia.org/resource/%D0%93%D0%B0%D0%BB%D0%BB%D0%B5	http://sws.geonames.org/1246294/
