Source	Target
http://dbpedia.org/resource/Bandon,_Oregon	http://data.nytimes.com/43553777731027839441
http://ar.dbpedia.org/resource/مملكة_بورغندي	http://rdf.freebase.com/ns/m.03w965y
http://bg.dbpedia.org/resource/Кралство_Бургундия	http://rdf.freebase.com/ns/m.03w965y
http://ca.dbpedia.org/resource/Regne_de_Provença	http://rdf.freebase.com/ns/m.03w965y
http://cs.dbpedia.org/resource/Burgundské_království	http://rdf.freebase.com/ns/m.03w965y
http://dbpedia.org/resource/Kingdom_of_Burgundy	http://rdf.freebase.com/ns/m.03w965y
http://de.dbpedia.org/resource/Königreich_Burgund	http://rdf.freebase.com/ns/m.03w965y
http://es.dbpedia.org/resource/Reino_de_Borgoña	http://rdf.freebase.com/ns/m.03w965y
http://et.dbpedia.org/resource/Burgundia_kuningriik	http://rdf.freebase.com/ns/m.03w965y
http://fr.dbpedia.org/resource/Royaume_de_Bourgogne	http://rdf.freebase.com/ns/m.03w965y
http://hu.dbpedia.org/resource/Burgundiai_Királyság	http://rdf.freebase.com/ns/m.03w965y
http://it.dbpedia.org/resource/Regno_di_Borgogna	http://rdf.freebase.com/ns/m.03w965y
http://ja.dbpedia.org/resource/ブルグント王国	http://rdf.freebase.com/ns/m.03w965y
http://ko.dbpedia.org/resource/부르군트_왕국	http://rdf.freebase.com/ns/m.03w965y
http://lt.dbpedia.org/resource/Burgundų_karalystės	http://rdf.freebase.com/ns/m.03w965y
http://nl.dbpedia.org/resource/Koninkrijk_Bourgondië	http://rdf.freebase.com/ns/m.03w965y
http://rdf.freebase.com/ns/m.03w965y	http://www.wikidata.org/entity/Q530670
http://rdf.freebase.com/ns/m.03w965y	http://ru.dbpedia.org/resource/Бургундское_королевство
http://rdf.freebase.com/ns/m.03w965y	http://sl.dbpedia.org/resource/Burgundija
http://rdf.freebase.com/ns/m.03w965y	http://th.dbpedia.org/resource/ราชอาณาจักรเบอร์กันดี
http://rdf.freebase.com/ns/m.03w965y	http://uk.dbpedia.org/resource/Бургундське_королівство
http://dbpedia.org/resource/Bourgogne	http://data.nytimes.com/N30038501401041739851
